League,Div,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,PSCH,PSCD,PSCA,WHH,WHD,WHA,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,home_xG,away_xG,p_home,p_draw,p_away,understat_id
epl,E0,1819,2018-08-10,Man United,Leicester,2,1,H,1,0,H,8,13,6,4,2,5,11,8,2,1,0,0,1.57,3.9,7.5,1.58,3.93,7.5,1.55,4.07,7.69,1.57,3.8,6.0,,,,,,,,1.5137,1.73813,0.2812,0.3275,0.3913,9197
epl,E0,1819,2018-08-11,Bournemouth,Cardiff,2,0,H,1,0,H,12,10,4,1,7,4,11,9,1,1,0,0,1.9,3.6,4.5,1.89,3.63,4.58,1.88,3.61,4.7,1.91,3.5,4.0,,,,,,,,2.60022,1.50693,0.6773,0.2104,0.1123,9202
epl,E0,1819,2018-08-11,Fulham,Crystal Palace,0,2,A,0,1,A,15,10,6,9,5,5,9,11,1,2,0,0,2.5,3.4,3.0,2.5,3.46,3.0,2.62,3.38,2.9,2.45,3.3,2.8,,,,,,,,0.638076,1.07816,0.2004,0.3242,0.4754,9201
epl,E0,1819,2018-08-11,Huddersfield,Chelsea,0,3,A,0,2,A,6,13,1,4,2,5,9,8,2,1,0,0,6.5,4.0,1.61,6.41,4.02,1.62,7.24,3.95,1.58,5.8,3.9,1.57,,,,,,,,0.396115,2.31427,0.0214,0.1011,0.8775,9200
epl,E0,1819,2018-08-11,Newcastle,Tottenham,1,2,A,1,2,A,15,15,2,5,3,5,11,12,2,2,0,0,3.9,3.5,2.04,3.83,3.57,2.08,4.74,3.53,1.89,3.8,3.2,2.05,,,,,,,,0.974497,2.58097,0.08,0.1479,0.7721,9198
epl,E0,1819,2018-08-11,Watford,Brighton,2,0,H,1,0,H,19,6,5,0,8,2,10,16,2,2,0,0,2.37,3.2,3.4,2.43,3.22,3.33,2.58,3.08,3.22,2.38,3.0,3.3,,,,,,,,1.42372,0.45504,0.6438,0.2574,0.0988,9199
epl,E0,1819,2018-08-11,Wolves,Everton,2,2,D,1,1,D,11,6,4,5,3,6,8,7,0,1,0,1,2.37,3.3,3.3,2.36,3.4,3.28,2.44,3.23,3.32,2.3,3.2,3.2,,,,,,,,0.891038,0.715382,0.3582,0.3775,0.2643,9203
epl,E0,1819,2018-08-12,Arsenal,Man City,0,2,A,0,1,A,9,17,3,8,2,9,11,14,2,2,0,0,4.0,3.8,1.95,4.0,3.97,1.93,4.43,4.13,1.81,3.8,3.8,1.91,,,,,,,,0.445187,2.0178,0.0451,0.1428,0.8121,9206
epl,E0,1819,2018-08-12,Liverpool,West Ham,4,0,H,2,0,H,18,5,8,2,5,4,14,9,1,2,0,0,1.25,6.5,14.0,1.27,6.35,13.25,1.25,6.95,12.0,1.25,5.5,12.0,,,,,,,,4.34421,0.404253,0.9893,0.0092,0.0015,9205
epl,E0,1819,2018-08-12,Southampton,Burnley,0,0,D,0,0,D,18,16,3,6,8,5,10,9,0,1,0,0,1.85,3.5,5.0,1.86,3.51,4.99,2.03,3.19,4.65,1.83,3.25,4.8,,,,,,,,1.01994,1.40827,0.2552,0.2792,0.4656,9204
